top - 13:24:59 up  1:17,  1 user,  load average: 0.96, 0.68, 0.85
Tasks: 357 total,   1 running, 356 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.3 us,  2.6 sy,  0.0 ni, 96.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15907.9 total,   6410.3 free,   5448.5 used,   4049.0 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   9372.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    127 root      20   0       0      0      0 I   0.0   0.0   0:53.61 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.47 kworker+
    130 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    134 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    135 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    136 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    137 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.55 kworker+
    144 root      20   0       0      0      0 I   0.0   0.0   0:01.01 kworker+
    153 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    164 root      20   0       0      0      0 I   0.0   0.0   0:01.72 kworker+
    165 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.34 kworker+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.47 kworker+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.37 kworker+
    235 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    237 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    238 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    239 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    240 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    246 root     -51   0       0      0      0 S   0.0   0.0   0:07.15 irq/51-+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.34 kworker+
    281 root      20   0       0      0      0 S   0.0   0.0   0:00.95 jbd2/sd+
    282 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    294 root       0 -20       0      0      0 I   0.0   0.0   0:00.25 kworker+
    322 root      19  -1  164908  92028  90108 S   0.0   0.6   0:01.65 systemd+
    345 root      20   0    2496    512    448 S   0.0   0.0   0:00.01 bpfilte+
    375 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    383 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
    395 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop2
    418 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
    425 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
    434 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop5
    441 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop6
    446 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop7
    462 root      20   0   24580   8060   4028 S   0.0   0.0   0:00.99 systemd+
    463 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop8
    464 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop9
    465 root       0 -20       0      0      0 S   0.0   0.0   0:00.05 loop10
    466 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop11
    467 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop12
    468 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop13
    507 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop14
    508 root      20   0       0      0      0 I   0.0   0.0   0:01.07 kworker+
    510 root       0 -20       0      0      0 S   0.0   0.0   0:00.37 loop15
    513 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/128+
    527 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    531 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop16
    532 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    533 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    534 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    538 root     -51   0       0      0      0 S   0.0   0.0   0:27.07 irq/130+
    545 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop17
    546 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    547 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmemsti+
    596 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop18
    610 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
    613 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop19
    616 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 gfx
    617 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    618 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    619 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    620 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    621 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    622 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    623 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    624 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    631 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 sdma0
    632 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 sdma1
    636 root      20   0       0      0      0 I   0.0   0.0   0:01.84 kworker+
    654 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop20
    728 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop21
    751 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop22
