top - 13:32:52 up  2:04,  1 user,  load average: 2.08, 2.42, 2.40
Tasks: 462 total,   2 running, 460 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  7.1 sy,  0.0 ni, 81.6 id,  7.1 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7517.8 total,    713.7 free,   5462.2 used,   1341.8 buff/cache
MiB Swap:   2048.0 total,   1105.0 free,    943.0 used.   1124.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    153 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    164 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    236 root     -51   0       0      0      0 S   0.0   0.0   0:35.22 irq/48-+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.54 kworker+
    256 root       0 -20       0      0      0 I   0.0   0.0   0:00.65 kworker+
    258 root       0 -20       0      0      0 I   0.0   0.0   0:00.69 kworker+
    259 root      20   0       0      0      0 S   0.0   0.0   0:07.12 jbd2/sd+
    260 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    261 root       0 -20       0      0      0 I   0.0   0.0   0:02.91 kworker+
    273 root       0 -20       0      0      0 I   0.0   0.0   0:00.70 kworker+
    275 root       0 -20       0      0      0 I   0.0   0.0   0:00.70 kworker+
    294 root       0 -20       0      0      0 I   0.0   0.0   0:00.59 kworker+
    297 root       0 -20       0      0      0 I   0.0   0.0   0:00.75 kworker+
    304 root      19  -1   70476  10272   8960 S   0.0   0.1   0:01.03 systemd+
    342 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    345 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
    347 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop2
    355 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
    356 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop5
    360 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop6
    367 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop8
    370 root      20   0   25148   3216   2336 S   0.0   0.0   0:01.88 systemd+
    371 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop9
    372 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop10
    373 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop11
    374 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop12
    375 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop13
    376 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop14
